Top 10 in network cyto.tsv ranked by MCC method
Rank,Name,Score
1,STAT1,5.325250169768E12
2,MX1,5.325248953602E12
3,OAS1,5.32524295296E12
4,ISG15,5.325232909774E12
5,IFIT1,5.325224108448E12
6,IFI6,5.325224093304E12
7,OAS3,5.32507204224E12
8,RSAD2,5.324585414402E12
9,USP18,5.324581785606E12
10,IFI44L,5.324102784E12
