Top 10 in network cyto.tsv ranked by Stress method
Rank,Name,Score
1,CDKN1A,2614.0
2,BCL2,2612.0
3,STAT1,2420.0
4,ISG15,1862.0
5,TGFBI,1444.0
6,MX1,1274.0
7,TNFSF10,1166.0
8,CD38,868.0
9,ALOX5,844.0
10,BTK,796.0
